SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR25-01597577,Traffic Signal Out Complaint,SFB,311 City Services,CDOT - Department of Transportation,Completed,Phone Call,9/2/2025 9:05,9/9/2025 16:12,9/9/2025 16:12,7100 S YATES BLVD,Chicago,Illinois,60649,7100,S,YATES,BLVD,FALSE,FALSE,,,43,5,12,V038,3,03,0334,26,,9,3,9,1193429.4913577687,1858357.7335993946,41.76629367,-87.56656898,"(41.76629366898, -87.56656898419)"
SR25-01597576,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:05,9/2/2025 9:32,9/2/2025 9:05,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597575,Graffiti Removal Request,GRAF,,Streets and Sanitation,Completed,Internet,9/2/2025 9:04,9/3/2025 13:16,9/3/2025 13:16,2557 N LOCKWOOD AVE,Chicago,Illinois,60639,2557,N,LOCKWOOD,AVE,FALSE,FALSE,,,19,31,3,C016,1,25,2515,32,,9,3,9,1140658.709053861,1916714.8190531724,41.927562,-87.7585635,"(41.927562000941, -87.758563500002)"
SR25-01597574,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:04,9/2/2025 9:32,9/2/2025 9:04,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597573,Garbage Cart Maintenance,SIE,,Streets and Sanitation,Open,Mobile Device,9/2/2025 9:04,9/2/2025 9:04,,5134 W FULTON ST,,,,5134,W,FULTON,ST,FALSE,FALSE,,,25,28,6,D022,3,15,1532,43,,9,3,9,1141931.7745893593,1901554.5514471838,41.885937,-87.7542615,"(41.885937000941, -87.754261500002)"
SR25-01597572,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:04,9/2/2025 9:31,9/2/2025 9:04,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597569,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:04,9/2/2025 9:32,9/2/2025 9:04,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597568,Building Violation,BBA,311 City Services,DOB - Buildings,Open,Phone Call,9/2/2025 9:04,9/2/2025 9:04,,8938 S DORCHESTER AVE,Chicago,Illinois,60619,8938,S,DORCHESTER,AVE,FALSE,FALSE,,,48,8,15,T043,1,04,0413,35,,9,3,9,1186947.8780980636,1845826.9246526887,41.732064,-87.5907225,"(41.73206400094, -87.590722500002)"
SR25-01597567,Aircraft Noise Complaint,AVN,,Aviation,Completed,Internet,9/2/2025 9:04,9/2/2025 9:32,9/2/2025 9:04,10510 W ZEMKE RD,Chicago,Illinois,60666,10510,W,ZEMKE,RD,FALSE,FALSE,,,76,41,,,5,16,1654,27,,9,3,9,1105376.7673561182,1941043.7883293368,41.9949,-87.8877495,"(41.994900000941, -87.887749500002)"
SR25-01597564,Abandoned Vehicle Complaint,SKA,311 City Services,Streets and Sanitation,Completed,Phone Call,9/2/2025 9:03,9/2/2025 9:38,9/2/2025 9:38,4141 W SCHOOL ST,Chicago,Illinois,60641,4141,W,SCHOOL,ST,FALSE,FALSE,,,16,30,3,F014,3,17,1731,23,,9,3,9,1148038.6991497814,1921527.6930142264,41.94063,-87.7313205,"(41.940630000941, -87.731320500002)"
